timestamp,deployment,ready_replicas,available_replicas,updated_replicas,desired_replicas
2026-09-03T10:28:25+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-03T10:28:25+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:28:25+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-03T10:28:25+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:28:25+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:28:42+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-03T10:28:42+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:28:42+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-03T10:28:42+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:28:42+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:00+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-03T10:29:00+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:00+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-03T10:29:00+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:29:00+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:17+08:00,life-assistant-merchant-service,2,2,4,4
2026-09-03T10:29:17+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:17+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-03T10:29:17+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:29:17+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:36+08:00,life-assistant-merchant-service,2,2,4,4
2026-09-03T10:29:36+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:36+08:00,life-assistant-api-gateway,3,3,3,2
2026-09-03T10:29:36+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:29:36+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:56+08:00,life-assistant-merchant-service,2,2,4,4
2026-09-03T10:29:56+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:29:56+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:29:56+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:29:56+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:30:15+08:00,life-assistant-merchant-service,2,2,4,4
2026-09-03T10:30:15+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:30:15+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:30:15+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:30:15+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:30:36+08:00,life-assistant-merchant-service,4,4,4,4
2026-09-03T10:30:36+08:00,life-assistant-order-service,1,1,1,1
2026-09-03T10:30:36+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:30:36+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:30:36+08:00,life-assistant-order-service,1,1,1,3
2026-09-03T10:30:55+08:00,life-assistant-merchant-service,4,4,5,5
2026-09-03T10:30:55+08:00,life-assistant-order-service,1,1,3,3
2026-09-03T10:30:55+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:30:55+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:30:55+08:00,life-assistant-order-service,1,1,3,3
2026-09-03T10:31:16+08:00,life-assistant-merchant-service,4,4,5,5
2026-09-03T10:31:16+08:00,life-assistant-order-service,1,1,3,3
2026-09-03T10:31:16+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:31:16+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:31:16+08:00,life-assistant-order-service,1,1,3,3
2026-09-03T10:31:36+08:00,life-assistant-merchant-service,4,4,5,5
2026-09-03T10:31:36+08:00,life-assistant-order-service,,,,0
2026-09-03T10:31:36+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:31:36+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:31:36+08:00,life-assistant-order-service,,,,0
2026-09-03T10:31:57+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:31:57+08:00,life-assistant-order-service,,,,0
2026-09-03T10:31:57+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:31:57+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:31:57+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:15+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:32:15+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:15+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:32:15+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:32:15+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:32+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:32:32+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:32+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:32:32+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:32:32+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:49+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:32:49+08:00,life-assistant-order-service,,,,0
2026-09-03T10:32:49+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:32:49+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:32:49+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:06+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:33:06+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:06+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:33:06+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:33:06+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:23+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:33:23+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:23+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:33:23+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:33:23+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:40+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:33:40+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:40+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:33:40+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:33:40+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:57+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:33:57+08:00,life-assistant-order-service,,,,0
2026-09-03T10:33:57+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:33:57+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:33:57+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:14+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:34:14+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:14+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:34:14+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:34:14+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:31+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:34:31+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:31+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-03T10:34:31+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:34:31+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:48+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:34:48+08:00,life-assistant-order-service,,,,0
2026-09-03T10:34:48+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-03T10:34:48+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:34:48+08:00,life-assistant-order-service,,,,0
2026-09-03T10:35:06+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:35:06+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:35:06+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-03T10:35:06+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:35:06+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:35:26+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:35:26+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:35:26+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-03T10:35:26+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:35:26+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:35:47+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:35:47+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:35:47+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-03T10:35:47+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:35:47+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:36:08+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:36:08+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:36:08+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-03T10:36:08+08:00,life-assistant-user-service,1,1,1,1
2026-09-03T10:36:08+08:00,life-assistant-order-service,,,3,3
2026-09-03T10:36:30+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-03T10:36:30+08:00,life-assistant-order-service,3,3,3,3
2026-09-03T10:36:30+08:00,life-assistant-api-gateway,1,1,1,1
