timestamp,service,endpoints
2026-09-03T10:28:25+08:00,api-gateway,10.42.0.202 10.42.0.204 10.42.0.205
2026-09-03T10:28:25+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:28:25+08:00,order-service,10.42.0.198
2026-09-03T10:28:25+08:00,user-service,10.42.0.207
2026-09-03T10:28:25+08:00,nacos,10.42.0.72
2026-09-03T10:28:42+08:00,api-gateway,10.42.0.202 10.42.0.204 10.42.0.205
2026-09-03T10:28:42+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:28:42+08:00,order-service,10.42.0.198
2026-09-03T10:28:42+08:00,user-service,10.42.0.207
2026-09-03T10:28:42+08:00,nacos,10.42.0.72
2026-09-03T10:29:00+08:00,api-gateway,10.42.0.202 10.42.0.204 10.42.0.205
2026-09-03T10:29:00+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:29:00+08:00,order-service,10.42.0.198
2026-09-03T10:29:00+08:00,user-service,10.42.0.207
2026-09-03T10:29:00+08:00,nacos,10.42.0.72
2026-09-03T10:29:17+08:00,api-gateway,10.42.0.202 10.42.0.204 10.42.0.205
2026-09-03T10:29:17+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:29:17+08:00,order-service,10.42.0.198
2026-09-03T10:29:17+08:00,user-service,10.42.0.207
2026-09-03T10:29:17+08:00,nacos,10.42.0.72
2026-09-03T10:29:36+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:29:36+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:29:36+08:00,order-service,10.42.0.198
2026-09-03T10:29:36+08:00,user-service,10.42.0.207
2026-09-03T10:29:36+08:00,nacos,10.42.0.72
2026-09-03T10:29:56+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:29:56+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:29:56+08:00,order-service,10.42.0.198
2026-09-03T10:29:56+08:00,user-service,10.42.0.207
2026-09-03T10:29:56+08:00,nacos,10.42.0.72
2026-09-03T10:30:15+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:30:15+08:00,merchant-service,10.42.0.208 10.42.0.210
2026-09-03T10:30:15+08:00,order-service,10.42.0.198
2026-09-03T10:30:15+08:00,user-service,10.42.0.207
2026-09-03T10:30:15+08:00,nacos,10.42.0.72
2026-09-03T10:30:36+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:30:36+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212
2026-09-03T10:30:36+08:00,order-service,10.42.0.198
2026-09-03T10:30:36+08:00,user-service,10.42.0.207
2026-09-03T10:30:36+08:00,nacos,10.42.0.72
2026-09-03T10:30:55+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:30:55+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212
2026-09-03T10:30:55+08:00,order-service,10.42.0.198
2026-09-03T10:30:55+08:00,user-service,10.42.0.207
2026-09-03T10:30:55+08:00,nacos,10.42.0.72
2026-09-03T10:31:16+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:31:16+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212
2026-09-03T10:31:16+08:00,order-service,10.42.0.198
2026-09-03T10:31:16+08:00,user-service,10.42.0.207
2026-09-03T10:31:16+08:00,nacos,10.42.0.72
2026-09-03T10:31:36+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:31:36+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212
2026-09-03T10:31:36+08:00,order-service,none
2026-09-03T10:31:36+08:00,user-service,10.42.0.207
2026-09-03T10:31:36+08:00,nacos,10.42.0.72
2026-09-03T10:31:57+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:31:57+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:31:57+08:00,order-service,none
2026-09-03T10:31:57+08:00,user-service,10.42.0.207
2026-09-03T10:31:57+08:00,nacos,10.42.0.72
2026-09-03T10:32:15+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:32:15+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:32:15+08:00,order-service,none
2026-09-03T10:32:15+08:00,user-service,10.42.0.207
2026-09-03T10:32:15+08:00,nacos,10.42.0.72
2026-09-03T10:32:32+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:32:32+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:32:32+08:00,order-service,none
2026-09-03T10:32:32+08:00,user-service,10.42.0.207
2026-09-03T10:32:32+08:00,nacos,10.42.0.72
2026-09-03T10:32:49+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:32:49+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:32:49+08:00,order-service,none
2026-09-03T10:32:49+08:00,user-service,10.42.0.207
2026-09-03T10:32:49+08:00,nacos,10.42.0.72
2026-09-03T10:33:06+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:33:06+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:33:06+08:00,order-service,none
2026-09-03T10:33:06+08:00,user-service,10.42.0.207
2026-09-03T10:33:06+08:00,nacos,10.42.0.72
2026-09-03T10:33:23+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:33:23+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:33:23+08:00,order-service,none
2026-09-03T10:33:23+08:00,user-service,10.42.0.207
2026-09-03T10:33:23+08:00,nacos,10.42.0.72
2026-09-03T10:33:40+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:33:40+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:33:40+08:00,order-service,none
2026-09-03T10:33:40+08:00,user-service,10.42.0.207
2026-09-03T10:33:40+08:00,nacos,10.42.0.72
2026-09-03T10:33:57+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:33:57+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:33:57+08:00,order-service,none
2026-09-03T10:33:57+08:00,user-service,10.42.0.207
2026-09-03T10:33:57+08:00,nacos,10.42.0.72
2026-09-03T10:34:14+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:34:14+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:34:14+08:00,order-service,none
2026-09-03T10:34:14+08:00,user-service,10.42.0.207
2026-09-03T10:34:14+08:00,nacos,10.42.0.72
2026-09-03T10:34:31+08:00,api-gateway,10.42.0.202 10.42.0.204
2026-09-03T10:34:31+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:34:31+08:00,order-service,none
2026-09-03T10:34:31+08:00,user-service,10.42.0.207
2026-09-03T10:34:31+08:00,nacos,10.42.0.72
2026-09-03T10:34:48+08:00,api-gateway,10.42.0.204
2026-09-03T10:34:48+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:34:48+08:00,order-service,none
2026-09-03T10:34:48+08:00,user-service,10.42.0.207
2026-09-03T10:34:48+08:00,nacos,10.42.0.72
2026-09-03T10:35:06+08:00,api-gateway,10.42.0.204
2026-09-03T10:35:06+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:35:06+08:00,order-service,none
2026-09-03T10:35:06+08:00,user-service,10.42.0.207
2026-09-03T10:35:06+08:00,nacos,10.42.0.72
2026-09-03T10:35:26+08:00,api-gateway,10.42.0.204
2026-09-03T10:35:26+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:35:26+08:00,order-service,none
2026-09-03T10:35:26+08:00,user-service,10.42.0.207
2026-09-03T10:35:26+08:00,nacos,10.42.0.72
2026-09-03T10:35:47+08:00,api-gateway,10.42.0.204
2026-09-03T10:35:47+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:35:47+08:00,order-service,none
2026-09-03T10:35:47+08:00,user-service,10.42.0.207
2026-09-03T10:35:47+08:00,nacos,10.42.0.72
2026-09-03T10:36:08+08:00,api-gateway,10.42.0.204
2026-09-03T10:36:08+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:36:08+08:00,order-service,none
2026-09-03T10:36:08+08:00,user-service,10.42.0.207
2026-09-03T10:36:08+08:00,nacos,10.42.0.72
2026-09-03T10:36:30+08:00,api-gateway,10.42.0.204
2026-09-03T10:36:30+08:00,merchant-service,10.42.0.208 10.42.0.210 10.42.0.211 10.42.0.212 10.42.0.213
2026-09-03T10:36:30+08:00,order-service,10.42.0.216 10.42.0.217 10.42.0.218
2026-09-03T10:36:30+08:00,user-service,10.42.0.207
2026-09-03T10:36:30+08:00,nacos,10.42.0.72
