LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
41m         Normal    Scheduled                      pod/life-assistant-user-service-798dd7779f-s5b6l             Successfully assigned default/life-assistant-user-service-798dd7779f-s5b6l to izf8z9823mhcfvpm8llt12z
18m         Normal    Scheduled                      pod/life-assistant-frontend-745b598b7c-sdf46                 Successfully assigned default/life-assistant-frontend-745b598b7c-sdf46 to izf8z9823mhcfvpm8llt12z
13m         Normal    Scheduled                      pod/life-assistant-merchant-service-c864547b8-pd5l5          Successfully assigned default/life-assistant-merchant-service-c864547b8-pd5l5 to izf8z9823mhcfvpm8llt12z
41m         Normal    Scheduled                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Successfully assigned default/life-assistant-merchant-service-5bd7fc6fc8-zx484 to izf8z9823mhcfvpm8llt12z
19m         Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-48n7m                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-48n7m to izf8z9823mhcfvpm8llt12z
28m         Normal    Scheduled                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Successfully assigned default/life-assistant-merchant-service-5bd7fc6fc8-cnh4w to izf8z9823mhcfvpm8llt12z
41m         Normal    Scheduled                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Successfully assigned default/life-assistant-engagement-service-7f4d97d587-dvkn7 to izf8z9823mhcfvpm8llt12z
12m         Normal    Scheduled                      pod/life-assistant-user-service-8486f4fdc9-d4pf7             Successfully assigned default/life-assistant-user-service-8486f4fdc9-d4pf7 to izf8z9823mhcfvpm8llt12z
6m17s       Normal    Scheduled                      pod/life-assistant-merchant-service-76dd444dc-tbcq9          Successfully assigned default/life-assistant-merchant-service-76dd444dc-tbcq9 to izf8z9823mhcfvpm8llt12z
41m         Normal    Scheduled                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Successfully assigned default/life-assistant-fulfillment-service-6899c79c8-9sq8d to izf8z9823mhcfvpm8llt12z
7m47s       Normal    Scheduled                      pod/life-assistant-merchant-service-76dd444dc-6grgl          Successfully assigned default/life-assistant-merchant-service-76dd444dc-6grgl to izf8z9823mhcfvpm8llt12z
113s        Normal    Scheduled                      pod/life-assistant-order-service-5c75679647-sxkph            Successfully assigned default/life-assistant-order-service-5c75679647-sxkph to izf8z9823mhcfvpm8llt12z
18m         Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-4xvj4                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-4xvj4 to izf8z9823mhcfvpm8llt12z
11m         Normal    Scheduled                      pod/life-assistant-merchant-service-76dd444dc-7ldm5          Successfully assigned default/life-assistant-merchant-service-76dd444dc-7ldm5 to izf8z9823mhcfvpm8llt12z
62s         Normal    Scheduled                      pod/life-assistant-fulfillment-service-5579cbdf5d-cwhsg      Successfully assigned default/life-assistant-fulfillment-service-5579cbdf5d-cwhsg to izf8z9823mhcfvpm8llt12z
113s        Normal    Scheduled                      pod/life-assistant-order-service-5c75679647-z59d7            Successfully assigned default/life-assistant-order-service-5c75679647-z59d7 to izf8z9823mhcfvpm8llt12z
23m         Normal    Scheduled                      pod/life-assistant-settlement-service-85968c8f84-phmj4       Successfully assigned default/life-assistant-settlement-service-85968c8f84-phmj4 to izf8z9823mhcfvpm8llt12z
13m         Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-6pkw9                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-6pkw9 to izf8z9823mhcfvpm8llt12z
