LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
13m         Normal    Scheduled                      pod/life-assistant-fulfillment-service-7d988c8b64-rzmmx      Successfully assigned default/life-assistant-fulfillment-service-7d988c8b64-rzmmx to izf8z9823mhcfvpm8llt12z
20m         Normal    Scheduled                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Successfully assigned default/life-assistant-merchant-service-5bd7fc6fc8-cnh4w to izf8z9823mhcfvpm8llt12z
33m         Normal    Scheduled                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Successfully assigned default/life-assistant-fulfillment-service-6899c79c8-9sq8d to izf8z9823mhcfvpm8llt12z
9m57s       Normal    Scheduled                      pod/life-assistant-frontend-745b598b7c-sdf46                 Successfully assigned default/life-assistant-frontend-745b598b7c-sdf46 to izf8z9823mhcfvpm8llt12z
10m         Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-48n7m                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-48n7m to izf8z9823mhcfvpm8llt12z
32m         Normal    Scheduled                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Successfully assigned default/life-assistant-merchant-service-5bd7fc6fc8-59cjl to izf8z9823mhcfvpm8llt12z
2m30s       Normal    Scheduled                      pod/life-assistant-merchant-service-76dd444dc-7ldm5          Successfully assigned default/life-assistant-merchant-service-76dd444dc-7ldm5 to izf8z9823mhcfvpm8llt12z
33m         Normal    Scheduled                      pod/life-assistant-order-service-6b84595445-g7vqt            Successfully assigned default/life-assistant-order-service-6b84595445-g7vqt to izf8z9823mhcfvpm8llt12z
16m         Normal    Scheduled                      pod/life-assistant-order-service-5c75679647-mngdh            Successfully assigned default/life-assistant-order-service-5c75679647-mngdh to izf8z9823mhcfvpm8llt12z
33m         Normal    Scheduled                      pod/life-assistant-user-service-798dd7779f-s5b6l             Successfully assigned default/life-assistant-user-service-798dd7779f-s5b6l to izf8z9823mhcfvpm8llt12z
9m31s       Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-4xvj4                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-4xvj4 to izf8z9823mhcfvpm8llt12z
33m         Normal    Scheduled                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Successfully assigned default/life-assistant-merchant-service-5bd7fc6fc8-zx484 to izf8z9823mhcfvpm8llt12z
33m         Normal    Scheduled                      pod/life-assistant-order-service-6b84595445-wcqs9            Successfully assigned default/life-assistant-order-service-6b84595445-wcqs9 to izf8z9823mhcfvpm8llt12z
32m         Normal    Scheduled                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Successfully assigned default/life-assistant-engagement-service-7f4d97d587-dvkn7 to izf8z9823mhcfvpm8llt12z
3m40s       Normal    Scheduled                      pod/life-assistant-user-service-8486f4fdc9-d4pf7             Successfully assigned default/life-assistant-user-service-8486f4fdc9-d4pf7 to izf8z9823mhcfvpm8llt12z
5m16s       Normal    Scheduled                      pod/life-assistant-api-gateway-d7fc78bd-6pkw9                Successfully assigned default/life-assistant-api-gateway-d7fc78bd-6pkw9 to izf8z9823mhcfvpm8llt12z
3m40s       Normal    Scheduled                      pod/life-assistant-merchant-service-76dd444dc-s4zww          Successfully assigned default/life-assistant-merchant-service-76dd444dc-s4zww to izf8z9823mhcfvpm8llt12z
3m39s       Normal    Scheduled                      pod/life-assistant-fulfillment-service-5579cbdf5d-5mjsl      Successfully assigned default/life-assistant-fulfillment-service-5579cbdf5d-5mjsl to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-user-service-5c79b6c75c-wzrr8             Successfully assigned default/life-assistant-user-service-5c79b6c75c-wzrr8 to izf8z9823mhcfvpm8llt12z
12m         Normal    Scheduled                      pod/life-assistant-engagement-service-5ff9ccfcb9-2fq9n       Successfully assigned default/life-assistant-engagement-service-5ff9ccfcb9-2fq9n to izf8z9823mhcfvpm8llt12z
5m16s       Normal    Scheduled                      pod/life-assistant-merchant-service-c864547b8-pd5l5          Successfully assigned default/life-assistant-merchant-service-c864547b8-pd5l5 to izf8z9823mhcfvpm8llt12z
19m         Normal    Scheduled                      pod/life-assistant-merchant-service-c864547b8-vdbst          Successfully assigned default/life-assistant-merchant-service-c864547b8-vdbst to izf8z9823mhcfvpm8llt12z
14m         Normal    Scheduled                      pod/life-assistant-settlement-service-85968c8f84-phmj4       Successfully assigned default/life-assistant-settlement-service-85968c8f84-phmj4 to izf8z9823mhcfvpm8llt12z
33m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-5bd7fc6fc8 from 1 to 2
33m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-fulfillment-service   New size: 2; reason: cpu resource utilization (percentage of request) above target
33m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-user-service          New size: 2; reason: cpu resource utilization (percentage of request) above target
33m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled up replica set life-assistant-user-service-798dd7779f from 1 to 2
33m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled up replica set life-assistant-fulfillment-service-6899c79c8 from 1 to 2
33m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled up replica set life-assistant-order-service-6b84595445 from 1 to 3
33m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 3; reason: cpu resource utilization (percentage of request) above target
33m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: cpu resource utilization (percentage of request) above target
33m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-6b84595445           Created pod: life-assistant-order-service-6b84595445-wcqs9
33m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    SuccessfulCreate               replicaset/life-assistant-fulfillment-service-6899c79c8      Created pod: life-assistant-fulfillment-service-6899c79c8-9sq8d
33m         Normal    Created                        pod/life-assistant-user-service-798dd7779f-s5b6l             Container created
33m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-wcqs9            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Created                        pod/life-assistant-order-service-6b84595445-g7vqt            Container created
33m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-798dd7779f            Created pod: life-assistant-user-service-798dd7779f-s5b6l
33m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-zx484
33m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-6b84595445           Created pod: life-assistant-order-service-6b84595445-g7vqt
33m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-g7vqt            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Pulled                         pod/life-assistant-user-service-798dd7779f-s5b6l             Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Started                        pod/life-assistant-user-service-798dd7779f-s5b6l             Container started
33m         Normal    Started                        pod/life-assistant-order-service-6b84595445-wcqs9            Container started
33m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container created
33m         Normal    Started                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container started
33m         Normal    Created                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container created
