timestamp,hpa,current_replicas,desired_replicas,current_cpu_utilization,target_cpu_utilization,able_to_scale,scaling_active,scaling_limited
2026-09-03T10:28:25+08:00,life-assistant-merchant-service,2,2,38,50,True,True,False
2026-09-03T10:28:25+08:00,life-assistant-order-service,1,1,11,60,True,True,False
2026-09-03T10:28:25+08:00,life-assistant-api-gateway,3,3,9,60,True,True,False
2026-09-03T10:28:42+08:00,life-assistant-merchant-service,2,2,17,50,True,True,False
2026-09-03T10:28:42+08:00,life-assistant-order-service,1,1,12,60,True,True,False
2026-09-03T10:28:42+08:00,life-assistant-api-gateway,3,3,8,60,True,True,False
2026-09-03T10:29:00+08:00,life-assistant-merchant-service,2,2,29,50,True,True,False
2026-09-03T10:29:00+08:00,life-assistant-order-service,1,1,12,60,True,True,False
2026-09-03T10:29:00+08:00,life-assistant-api-gateway,3,3,17,60,True,True,False
2026-09-03T10:29:17+08:00,life-assistant-merchant-service,2,4,100,50,True,True,False
2026-09-03T10:29:17+08:00,life-assistant-order-service,1,1,15,60,True,True,False
2026-09-03T10:29:17+08:00,life-assistant-api-gateway,3,3,18,60,True,True,False
2026-09-03T10:29:36+08:00,life-assistant-merchant-service,4,4,43,50,True,True,False
2026-09-03T10:29:36+08:00,life-assistant-order-service,1,1,18,60,True,True,False
2026-09-03T10:29:36+08:00,life-assistant-api-gateway,3,2,26,60,True,True,False
2026-09-03T10:29:56+08:00,life-assistant-merchant-service,4,4,44,50,True,True,False
2026-09-03T10:29:56+08:00,life-assistant-order-service,1,1,14,60,True,True,False
2026-09-03T10:29:56+08:00,life-assistant-api-gateway,2,2,13,60,True,True,False
2026-09-03T10:30:15+08:00,life-assistant-merchant-service,4,4,92,50,True,True,False
2026-09-03T10:30:15+08:00,life-assistant-order-service,1,1,7,60,True,True,False
2026-09-03T10:30:15+08:00,life-assistant-api-gateway,2,2,16,60,True,True,False
2026-09-03T10:30:36+08:00,life-assistant-merchant-service,4,5,185,50,True,True,True
2026-09-03T10:30:36+08:00,life-assistant-order-service,1,3,179,60,True,True,False
2026-09-03T10:30:36+08:00,life-assistant-api-gateway,2,2,18,60,True,True,False
2026-09-03T10:30:55+08:00,life-assistant-merchant-service,5,5,38,50,True,True,False
2026-09-03T10:30:55+08:00,life-assistant-order-service,3,3,36,60,True,True,False
2026-09-03T10:30:55+08:00,life-assistant-api-gateway,2,2,25,60,True,True,False
2026-09-03T10:31:16+08:00,life-assistant-merchant-service,5,5,61,50,True,True,False
2026-09-03T10:31:16+08:00,life-assistant-order-service,3,3,12,60,True,True,False
2026-09-03T10:31:16+08:00,life-assistant-api-gateway,2,2,14,60,True,True,False
2026-09-03T10:31:36+08:00,life-assistant-merchant-service,5,5,18,50,True,True,False
2026-09-03T10:31:36+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:31:36+08:00,life-assistant-api-gateway,2,2,10,60,True,True,False
2026-09-03T10:31:57+08:00,life-assistant-merchant-service,5,5,26,50,True,True,False
2026-09-03T10:31:57+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:31:57+08:00,life-assistant-api-gateway,2,2,10,60,True,True,False
2026-09-03T10:32:15+08:00,life-assistant-merchant-service,5,5,18,50,True,True,False
2026-09-03T10:32:15+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:32:15+08:00,life-assistant-api-gateway,2,2,9,60,True,True,False
2026-09-03T10:32:32+08:00,life-assistant-merchant-service,5,5,13,50,True,True,False
2026-09-03T10:32:32+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:32:32+08:00,life-assistant-api-gateway,2,2,9,60,True,True,False
2026-09-03T10:32:49+08:00,life-assistant-merchant-service,5,5,17,50,True,True,False
2026-09-03T10:32:49+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:32:49+08:00,life-assistant-api-gateway,2,2,10,60,True,True,False
2026-09-03T10:33:06+08:00,life-assistant-merchant-service,5,5,18,50,True,True,False
2026-09-03T10:33:06+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:33:06+08:00,life-assistant-api-gateway,2,2,10,60,True,True,False
2026-09-03T10:33:23+08:00,life-assistant-merchant-service,5,5,14,50,True,True,False
2026-09-03T10:33:23+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:33:23+08:00,life-assistant-api-gateway,2,2,8,60,True,True,False
2026-09-03T10:33:40+08:00,life-assistant-merchant-service,5,5,18,50,True,True,False
2026-09-03T10:33:40+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:33:40+08:00,life-assistant-api-gateway,2,2,8,60,True,True,False
2026-09-03T10:33:57+08:00,life-assistant-merchant-service,5,5,11,50,True,True,False
2026-09-03T10:33:57+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:33:57+08:00,life-assistant-api-gateway,2,2,15,60,True,True,False
2026-09-03T10:34:14+08:00,life-assistant-merchant-service,5,5,11,50,True,True,False
2026-09-03T10:34:14+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:34:14+08:00,life-assistant-api-gateway,2,2,13,60,True,True,False
2026-09-03T10:34:31+08:00,life-assistant-merchant-service,5,5,35,50,True,True,False
2026-09-03T10:34:31+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:34:31+08:00,life-assistant-api-gateway,2,2,9,60,True,True,False
2026-09-03T10:34:48+08:00,life-assistant-merchant-service,5,5,33,50,True,True,False
2026-09-03T10:34:48+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:34:48+08:00,life-assistant-api-gateway,2,1,16,60,True,True,False
2026-09-03T10:35:06+08:00,life-assistant-merchant-service,5,5,46,50,True,True,False
2026-09-03T10:35:06+08:00,life-assistant-order-service,,,,,,,
2026-09-03T10:35:06+08:00,life-assistant-api-gateway,1,1,14,60,True,True,False
2026-09-03T10:35:26+08:00,life-assistant-merchant-service,5,5,17,50,True,True,False
2026-09-03T10:35:26+08:00,life-assistant-order-service,,,,,,,
