NAME                                                  CPU(cores)   MEMORY(bytes)
life-assistant-api-gateway-d7fc78bd-4xvj4             11m          258Mi
life-assistant-engagement-service-5ff9ccfcb9-2fq9n    9m           322Mi
life-assistant-frontend-745b598b7c-sdf46              4m           31Mi
life-assistant-fulfillment-service-5579cbdf5d-5mjsl   13m          306Mi
life-assistant-fulfillment-service-5579cbdf5d-cwhsg   500m         156Mi
life-assistant-merchant-service-76dd444dc-6grgl       11m          316Mi
life-assistant-merchant-service-76dd444dc-7ldm5       16m          312Mi
life-assistant-merchant-service-76dd444dc-9mw4s       10m          309Mi
life-assistant-merchant-service-76dd444dc-s4zww       12m          312Mi
life-assistant-merchant-service-76dd444dc-tbcq9       12m          304Mi
life-assistant-mysql-596766557b-hl5pf                 20m          473Mi
life-assistant-nacos-5995f55965-l7wq6                 12m          580Mi
life-assistant-order-service-5c75679647-sxkph         30m          284Mi
life-assistant-order-service-5c75679647-xd6xk         32m          302Mi
life-assistant-order-service-5c75679647-z59d7         284m         279Mi
life-assistant-redis-c4fcbf6c-r8mhj                   11m          8Mi
life-assistant-settlement-service-85968c8f84-phmj4    23m          290Mi
life-assistant-user-service-8486f4fdc9-d4pf7          13m          313Mi
