NAME                                 READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS            IMAGES                                                                                                                                                         SELECTOR
life-assistant-api-gateway           1/1     1            1           27h   api-gateway           crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-10b040b34232b728e30fa8b450998a74f2a89f34           app=life-assistant-api-gateway
life-assistant-engagement-service    1/1     1            1           28h   engagement-service    crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-10b040b34232b728e30fa8b450998a74f2a89f34    app=life-assistant-engagement-service
life-assistant-frontend              1/1     1            1           24h   frontend              crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:frontend-10b040b34232b728e30fa8b450998a74f2a89f34              app=life-assistant-frontend
life-assistant-fulfillment-service   1/1     1            1           28h   fulfillment-service   crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-10b040b34232b728e30fa8b450998a74f2a89f34   app=life-assistant-fulfillment-service
life-assistant-merchant-service      1/1     1            1           28h   merchant-service      crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-10b040b34232b728e30fa8b450998a74f2a89f34      app=life-assistant-merchant-service
life-assistant-mysql                 1/1     1            1           28h   mysql                 mysql:8.4                                                                                                                                                      app=life-assistant-mysql
life-assistant-nacos                 1/1     1            1           28h   nacos                 nacos/nacos-server:v2.4.3                                                                                                                                      app=life-assistant-nacos
life-assistant-order-service         1/1     1            1           28h   order-service         crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-10b040b34232b728e30fa8b450998a74f2a89f34         app=life-assistant-order-service
life-assistant-redis                 1/1     1            1           28h   redis                 redis:7.4-alpine                                                                                                                                               app=life-assistant-redis
life-assistant-settlement-service    1/1     1            1           28h   settlement-service    crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-10b040b34232b728e30fa8b450998a74f2a89f34    app=life-assistant-settlement-service
life-assistant-user-service          1/1     1            1           28h   user-service          crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-10b040b34232b728e30fa8b450998a74f2a89f34          app=life-assistant-user-service
