timestamp,deployment,ready_replicas,available_replicas,updated_replicas,desired_replicas
2026-09-01T15:32:57+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T15:32:57+08:00,life-assistant-order-service,1,1,1,2
2026-09-01T15:32:57+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:32:57+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:33:15+08:00,life-assistant-merchant-service,1,1,3,3
2026-09-01T15:33:15+08:00,life-assistant-order-service,,,,0
2026-09-01T15:33:15+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:33:15+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:33:33+08:00,life-assistant-merchant-service,1,1,3,3
2026-09-01T15:33:33+08:00,life-assistant-order-service,,,,0
2026-09-01T15:33:33+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:33:33+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:33:51+08:00,life-assistant-merchant-service,1,1,3,3
2026-09-01T15:33:51+08:00,life-assistant-order-service,,,,0
2026-09-01T15:33:51+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:33:51+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:34:09+08:00,life-assistant-merchant-service,3,3,3,3
2026-09-01T15:34:09+08:00,life-assistant-order-service,,,,0
2026-09-01T15:34:09+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:34:09+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:34:26+08:00,life-assistant-merchant-service,3,3,4,4
2026-09-01T15:34:26+08:00,life-assistant-order-service,,,,0
2026-09-01T15:34:26+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:34:26+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:34:43+08:00,life-assistant-merchant-service,3,3,5,5
2026-09-01T15:34:43+08:00,life-assistant-order-service,,,,0
2026-09-01T15:34:43+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:34:43+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:35:01+08:00,life-assistant-merchant-service,3,3,5,5
2026-09-01T15:35:01+08:00,life-assistant-order-service,,,2,2
2026-09-01T15:35:01+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:35:01+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:35:22+08:00,life-assistant-merchant-service,3,3,5,5
2026-09-01T15:35:22+08:00,life-assistant-order-service,,,2,2
2026-09-01T15:35:22+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:35:22+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:35:42+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T15:35:42+08:00,life-assistant-order-service,,,2,2
2026-09-01T15:35:42+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:35:42+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:35:59+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T15:35:59+08:00,life-assistant-order-service,1,1,2,2
2026-09-01T15:35:59+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:35:59+08:00,life-assistant-user-service,1,1,1,1
2026-09-01T15:36:17+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T15:36:17+08:00,life-assistant-order-service,2,2,2,2
2026-09-01T15:36:17+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T15:36:17+08:00,life-assistant-user-service,1,1,1,1
