timestamp,hpa,current_replicas,desired_replicas,current_cpu_utilization,target_cpu_utilization,able_to_scale,scaling_active,scaling_limited
2026-09-01T15:32:57+08:00,life-assistant-merchant-service,1,1,7,50,True,True,False
2026-09-01T15:32:57+08:00,life-assistant-order-service,1,2,102,60,True,True,False
2026-09-01T15:32:57+08:00,life-assistant-api-gateway,1,1,10,60,True,True,False
2026-09-01T15:33:15+08:00,life-assistant-merchant-service,3,3,92,50,True,True,False
2026-09-01T15:33:15+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:33:15+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:33:33+08:00,life-assistant-merchant-service,3,3,92,50,True,True,False
2026-09-01T15:33:33+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:33:33+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:33:51+08:00,life-assistant-merchant-service,3,3,9,50,True,True,False
2026-09-01T15:33:51+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:33:51+08:00,life-assistant-api-gateway,1,1,6,60,True,True,False
2026-09-01T15:34:09+08:00,life-assistant-merchant-service,3,3,10,50,True,True,False
2026-09-01T15:34:09+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:34:09+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:34:26+08:00,life-assistant-merchant-service,3,4,182,50,True,True,False
2026-09-01T15:34:26+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:34:26+08:00,life-assistant-api-gateway,1,1,16,60,True,True,False
2026-09-01T15:34:43+08:00,life-assistant-merchant-service,4,5,166,50,True,True,False
2026-09-01T15:34:43+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:34:43+08:00,life-assistant-api-gateway,1,1,11,60,True,True,False
2026-09-01T15:35:01+08:00,life-assistant-merchant-service,5,5,25,50,True,True,False
2026-09-01T15:35:01+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:35:01+08:00,life-assistant-api-gateway,1,1,15,60,True,True,False
2026-09-01T15:35:22+08:00,life-assistant-merchant-service,5,5,11,50,True,True,False
2026-09-01T15:35:22+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:35:22+08:00,life-assistant-api-gateway,1,1,8,60,True,True,False
2026-09-01T15:35:42+08:00,life-assistant-merchant-service,5,5,11,50,True,True,False
2026-09-01T15:35:42+08:00,life-assistant-order-service,,,,,,,
2026-09-01T15:35:42+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:35:59+08:00,life-assistant-merchant-service,5,5,10,50,True,True,False
2026-09-01T15:35:59+08:00,life-assistant-order-service,,,,60,,,
2026-09-01T15:35:59+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:36:17+08:00,life-assistant-merchant-service,5,5,11,50,True,True,False
