NAME                                                  CPU(cores)   MEMORY(bytes)   
life-assistant-api-gateway-776675b754-zmgz7           3m           220Mi           
life-assistant-engagement-service-5957b687f6-cd7nq    3m           292Mi           
life-assistant-frontend-6cb65cc47c-99gcr              1m           5Mi             
life-assistant-fulfillment-service-5f98ffd56f-ktld2   5m           275Mi           
life-assistant-merchant-service-b9566645f-5dxww       9m           275Mi           
life-assistant-merchant-service-b9566645f-9b7gr       6m           293Mi           
life-assistant-mysql-596766557b-hl5pf                 17m          612Mi           
life-assistant-nacos-5995f55965-l7wq6                 5m           556Mi           
life-assistant-order-service-5d8996d9c5-lfjvh         8m           270Mi           
life-assistant-order-service-5d8996d9c5-nc9ll         6m           268Mi           
life-assistant-redis-c4fcbf6c-r8mhj                   9m           9Mi             
life-assistant-settlement-service-6868b9dff9-4mcf4    6m           264Mi           
life-assistant-user-service-967b8fbb6-fwdgg           4m           284Mi           
