timestamp,deployment,ready_replicas,available_replicas,updated_replicas,desired_replicas
2026-09-01T11:27:04+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:27:04+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:27:23+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:27:23+08:00,life-assistant-api-gateway,1,1,2,2
2026-09-01T11:27:43+08:00,life-assistant-merchant-service,2,2,5,5
2026-09-01T11:27:43+08:00,life-assistant-api-gateway,1,1,2,2
2026-09-01T11:28:06+08:00,life-assistant-merchant-service,2,2,5,5
2026-09-01T11:28:06+08:00,life-assistant-api-gateway,1,1,2,2
2026-09-01T11:28:29+08:00,life-assistant-merchant-service,2,2,5,5
2026-09-01T11:28:29+08:00,life-assistant-api-gateway,2,2,2,3
2026-09-01T11:28:51+08:00,life-assistant-merchant-service,3,3,5,5
2026-09-01T11:28:51+08:00,life-assistant-api-gateway,2,2,3,3
2026-09-01T11:29:15+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:29:15+08:00,life-assistant-api-gateway,2,2,3,3
2026-09-01T11:29:38+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:29:38+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:30:00+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:30:00+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:30:22+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:30:22+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:30:42+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:30:42+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:31:03+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:31:03+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:31:23+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:31:23+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:31:42+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:31:42+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:32:01+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:32:01+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:32:20+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:32:20+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:32:40+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:32:40+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:32:58+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:32:58+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:33:18+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:33:18+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:33:36+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:33:36+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:33:55+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:33:55+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:34:14+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:34:14+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:34:33+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:34:33+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:34:53+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:34:53+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:35:12+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:35:12+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:35:30+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:35:30+08:00,life-assistant-api-gateway,3,3,3,3
2026-09-01T11:35:50+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:35:50+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:36:09+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:36:09+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:36:28+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:36:28+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:36:46+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:36:46+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:37:06+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:37:06+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:37:24+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:37:24+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:37:43+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:37:43+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:38:01+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:38:01+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:38:20+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:38:20+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:38:38+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:38:38+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:38:57+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:38:57+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:39:16+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:39:16+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:39:34+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:39:34+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:39:53+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:39:53+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:40:11+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:40:11+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:40:30+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:40:30+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:40:48+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:40:48+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:41:07+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:41:07+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:41:25+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:41:25+08:00,life-assistant-api-gateway,2,2,2,2
2026-09-01T11:41:44+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:41:44+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:42:03+08:00,life-assistant-merchant-service,5,5,5,5
2026-09-01T11:42:03+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:42:21+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:42:21+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:42:40+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:42:40+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:42:59+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:42:59+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:43:17+08:00,life-assistant-merchant-service,2,2,2,2
2026-09-01T11:43:17+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:43:35+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:43:35+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:43:54+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:43:54+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:44:13+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:44:13+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:44:31+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:44:31+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:44:50+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:44:50+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:45:08+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:45:08+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:45:26+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:45:26+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:45:45+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:45:45+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:46:03+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:46:03+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:46:22+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:46:22+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:46:40+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:46:40+08:00,life-assistant-api-gateway,1,1,1,1
2026-09-01T11:46:59+08:00,life-assistant-merchant-service,1,1,1,1
2026-09-01T11:46:59+08:00,life-assistant-api-gateway,1,1,1,1
