timestamp,hpa,current_replicas,desired_replicas,current_cpu_utilization,target_cpu_utilization,able_to_scale,scaling_active,scaling_limited
2026-09-01T11:27:04+08:00,life-assistant-merchant-service,3,3,10,50,True,True,False
2026-09-01T11:27:04+08:00,life-assistant-api-gateway,1,1,6,60,True,True,False
2026-09-01T11:27:23+08:00,life-assistant-merchant-service,2,2,8,50,True,True,False
2026-09-01T11:27:23+08:00,life-assistant-api-gateway,1,2,73,60,True,True,False
2026-09-01T11:27:43+08:00,life-assistant-merchant-service,2,5,443,50,True,True,True
2026-09-01T11:27:43+08:00,life-assistant-api-gateway,2,2,116,60,True,True,False
2026-09-01T11:28:06+08:00,life-assistant-merchant-service,5,5,460,50,True,True,True
2026-09-01T11:28:06+08:00,life-assistant-api-gateway,2,2,93,60,True,True,False
2026-09-01T11:28:29+08:00,life-assistant-merchant-service,5,5,448,50,True,True,True
2026-09-01T11:28:29+08:00,life-assistant-api-gateway,2,2,127,60,True,True,False
2026-09-01T11:28:51+08:00,life-assistant-merchant-service,5,5,408,50,True,True,True
2026-09-01T11:28:51+08:00,life-assistant-api-gateway,3,3,126,60,True,True,False
2026-09-01T11:29:15+08:00,life-assistant-merchant-service,5,5,439,50,True,True,True
2026-09-01T11:29:15+08:00,life-assistant-api-gateway,3,3,93,60,True,True,False
2026-09-01T11:29:38+08:00,life-assistant-merchant-service,5,5,390,50,True,True,True
2026-09-01T11:29:38+08:00,life-assistant-api-gateway,3,3,82,60,True,True,False
2026-09-01T11:30:00+08:00,life-assistant-merchant-service,5,5,344,50,True,True,True
2026-09-01T11:30:00+08:00,life-assistant-api-gateway,3,3,80,60,True,True,False
2026-09-01T11:30:22+08:00,life-assistant-merchant-service,5,5,312,50,True,True,True
2026-09-01T11:30:22+08:00,life-assistant-api-gateway,3,3,56,60,True,True,False
2026-09-01T11:30:42+08:00,life-assistant-merchant-service,5,5,279,50,True,True,True
2026-09-01T11:30:42+08:00,life-assistant-api-gateway,3,3,39,60,True,True,False
2026-09-01T11:31:03+08:00,life-assistant-merchant-service,5,5,241,50,True,True,True
2026-09-01T11:31:03+08:00,life-assistant-api-gateway,3,3,41,60,True,True,False
2026-09-01T11:31:23+08:00,life-assistant-merchant-service,5,5,131,50,True,True,True
2026-09-01T11:31:23+08:00,life-assistant-api-gateway,3,3,32,60,True,True,False
2026-09-01T11:31:42+08:00,life-assistant-merchant-service,5,5,99,50,True,True,True
2026-09-01T11:31:42+08:00,life-assistant-api-gateway,3,3,31,60,True,True,False
2026-09-01T11:32:01+08:00,life-assistant-merchant-service,5,5,109,50,True,True,True
2026-09-01T11:32:01+08:00,life-assistant-api-gateway,3,3,29,60,True,True,False
2026-09-01T11:32:20+08:00,life-assistant-merchant-service,5,5,95,50,True,True,True
2026-09-01T11:32:20+08:00,life-assistant-api-gateway,3,3,31,60,True,True,False
2026-09-01T11:32:40+08:00,life-assistant-merchant-service,5,5,73,50,True,True,True
2026-09-01T11:32:40+08:00,life-assistant-api-gateway,3,3,31,60,True,True,False
2026-09-01T11:32:58+08:00,life-assistant-merchant-service,5,5,73,50,True,True,True
2026-09-01T11:32:58+08:00,life-assistant-api-gateway,3,3,29,60,True,True,False
2026-09-01T11:33:18+08:00,life-assistant-merchant-service,5,5,83,50,True,True,True
2026-09-01T11:33:18+08:00,life-assistant-api-gateway,3,3,30,60,True,True,False
2026-09-01T11:33:36+08:00,life-assistant-merchant-service,5,5,71,50,True,True,True
2026-09-01T11:33:36+08:00,life-assistant-api-gateway,3,3,32,60,True,True,False
2026-09-01T11:33:55+08:00,life-assistant-merchant-service,5,5,71,50,True,True,True
2026-09-01T11:33:55+08:00,life-assistant-api-gateway,3,3,30,60,True,True,False
2026-09-01T11:34:14+08:00,life-assistant-merchant-service,5,5,73,50,True,True,True
2026-09-01T11:34:14+08:00,life-assistant-api-gateway,3,3,36,60,True,True,False
2026-09-01T11:34:33+08:00,life-assistant-merchant-service,5,5,70,50,True,True,True
2026-09-01T11:34:33+08:00,life-assistant-api-gateway,3,3,22,60,True,True,False
2026-09-01T11:34:53+08:00,life-assistant-merchant-service,5,5,74,50,True,True,True
2026-09-01T11:34:53+08:00,life-assistant-api-gateway,3,3,21,60,True,True,False
2026-09-01T11:35:12+08:00,life-assistant-merchant-service,5,5,72,50,True,True,True
2026-09-01T11:35:12+08:00,life-assistant-api-gateway,3,3,19,60,True,True,False
2026-09-01T11:35:30+08:00,life-assistant-merchant-service,5,5,67,50,True,True,True
2026-09-01T11:35:30+08:00,life-assistant-api-gateway,3,3,31,60,True,True,False
2026-09-01T11:35:50+08:00,life-assistant-merchant-service,5,5,61,50,True,True,True
2026-09-01T11:35:50+08:00,life-assistant-api-gateway,3,2,23,60,True,True,False
2026-09-01T11:36:09+08:00,life-assistant-merchant-service,5,5,65,50,True,True,True
2026-09-01T11:36:09+08:00,life-assistant-api-gateway,2,2,16,60,True,True,False
2026-09-01T11:36:28+08:00,life-assistant-merchant-service,5,5,81,50,True,True,True
2026-09-01T11:36:28+08:00,life-assistant-api-gateway,2,2,28,60,True,True,False
2026-09-01T11:36:46+08:00,life-assistant-merchant-service,5,5,72,50,True,True,True
2026-09-01T11:36:46+08:00,life-assistant-api-gateway,2,2,47,60,True,True,False
2026-09-01T11:37:06+08:00,life-assistant-merchant-service,5,5,62,50,True,True,True
2026-09-01T11:37:06+08:00,life-assistant-api-gateway,2,2,26,60,True,True,False
2026-09-01T11:37:24+08:00,life-assistant-merchant-service,5,5,70,50,True,True,True
2026-09-01T11:37:24+08:00,life-assistant-api-gateway,2,2,16,60,True,True,False
2026-09-01T11:37:43+08:00,life-assistant-merchant-service,5,5,16,50,True,True,False
2026-09-01T11:37:43+08:00,life-assistant-api-gateway,2,2,4,60,True,True,False
2026-09-01T11:38:01+08:00,life-assistant-merchant-service,5,5,4,50,True,True,False
2026-09-01T11:38:01+08:00,life-assistant-api-gateway,2,2,3,60,True,True,False
